id,question,answer_A,answer_B,answer_C,answer_D,answer_E
0,"You are consulting with a pregnant woman for the 22-week morphological ultrasound. Her couple has no family history. Fetal growth is normal. She underwent first-trimester combined screening with a calculated risk of trisomy 21 at 1/10,000. The only peculiarity is fetal intestinal hyperechogenicity. Which of the following statement(s) is/are correct:",It is a sign suggestive of cystic fibrosis,It is a sign suggestive of a viral infection,This sign is frequently encountered in fetuses heterozygous for a severe mutation of the cftr gene,We primarily propose a search for heterozygosity in both parents,We primarily propose an amniocentesis to search for mutations of the cftr gene in the fetus
0,The objectives of the medico-legal management of a victim of sexual violence are: (one or more correct answers),"Describe the bodily traumatic injuries,","Determine if the person was consenting at the time of the events,","Determine if the victim's statements are credible,","Implement multidisciplinary care,",Take samples for genetic fingerprinting
0,What are the possible therapeutic strategies in asthma and chronic obstructive pulmonary disease (COPD)? (one or more correct answers),"Long-term inhaled corticosteroid monotherapy in COPD,","Continuous inhaled corticosteroid monotherapy in asthma,","Long-term long-acting beta-2 agonist monotherapy in asthma,","Combination of inhaled corticosteroid and long-acting beta-2 agonist as maintenance treatment in asthma,",Long-acting beta-2 agonist monotherapy in COPD
0,Question: Cite the potential consequence(s) of a drug association with a medication that induces cytochrome p450 3a4.,"Rejection of transplant under cyclosporine,","Pregnancy under estroprogestatives,","Ergotism in the presence of ergotamine,","Rhabdomyolysis in the presence of certain statins,",Failure of an antiretroviral treatment
0,You receive the result of a blood ionogram showing a potassium level of 6 mmol/L. What iatrogenic cause(s) can you consider?,"Oral long-term corticosteroid therapy,","Angiotensin II antagonist,","Mineralocorticoid receptor antagonist,","ACE inhibitor,",Loop diuretic
0,À propos des antidotes des médicaments :,"Le sulfate de protamine neutralise l'activité anticoagulante de l'héparine,","La naloxone est un antagoniste spécifique des morphinomimétiques,","Les facteurs prothrombiniques sont l'antidote pour le clopidogrel,","La n-acétyl-cystéine est l'antidote de l'acide acétylsalicylique,",Le flumazénil est un antagoniste des benzodiazépines et des molécules apparentées
0,"A 23-year-old woman is hospitalized in psychiatry for a state of psychomotor excitement evolving for a week, with disinhibition leading to reckless spending and risky sexual behavior. She has not slept for 72 hours but shows no signs of fatigue and takes it upon herself to introduce herself to each patient in the ward. If you had to opt for monotherapy, which of these options would seem indicated?","Lithium,","Valproic acid,","Risperidone,","Carbamazepine,",Quetiapine
0,A propos de la décision d'interruption médicale de grossesse (img) (une ou plusieurs réponses exactes) :,"Toute demande d'img doit faire l'objet d'un avis du centre pluridisciplinaire de diagnostic pré-natal (cpdpn),","Il existe une liste de pathologies pour lesquelles il y a une indication médicale d'img,","La recevabilité de la demande se fonde sur la démonstration d'une ""forte probabilité d’une affection d'une particulière gravité et incurable au moment du diagnostic"",","Un délai de réflexion doit être proposé à la femme enceinte entre le diagnostic de l'affection et la réalisation éventuelle de l'img,",Une img peut être réalisée après avis du cpdpn jusqu'au terme
0,"A 31-year-old woman describes the sudden onset, one month ago, of intense fatigue accompanied by deep sadness. She blames herself a lot, particularly for not being able to take care of her 2-month-old daughter, is very slowed down, and often wakes up in the middle of the night. She then has suicidal thoughts. Among the following characteristics, which one(s) may indicate a bipolar mood disorder?",Female sex,Postpartum context,Sudden onset,Melancholic features,Suicidal thoughts
0,Which of the following signs and symptoms is/are more frequent in a depressive episode in the elderly compared to young adults?,Somatic complaints,Feeling of guilt,Self-depreciation,Suicidal thoughts,Sexual disorders
0,Which of the following signs can be a symptom(s) of withdrawal from an opioid substance?,Constipation,Bilateral mydriasis,Hallucinations,Vomiting,Arterial hypertension
0,"When dealing with a patient presenting with an alcohol use disorder who is opposed to the idea of addiction treatment, which attitude(s) characterize(s) motivational interviewing?","Giving the patient arguments in favor of change,","Letting the patient explain what alcohol brings to them,","Exposing the patient to situations at risk of excessive consumption,","Identifying the patient's personal reasons for change,",Insisting to the patient on the risks associated with alcohol consumption
0,A 69-year-old patient presents for an annual visit with their new general practitioner. The clinical examination reveals a pulse of 45 beats per minute. List the medication(s) that could be responsible:,"Selective beta-blocker,","Class III antiarrhythmic,","Dihydropyridine calcium channel blocker,","Anticholinesterase,",Short-acting inhaled beta-2 agonist bronchodilator
0,A propos du syndrome de trisomie 21 (une ou plusieurs réponses exactes):,"Il résulte le plus souvent d'un accident méiotique maternel,","Quand il est associé à une formule chromosomique 46,xx,der(14;21),+21, il ne nécessite pas d’enquête familiale,","Son diagnostic post-natal peut être affirmé de façon rapide par biologie moléculaire,","Son risque de récurrence est proche de 1/100 à 1/200 pour un couple ayant eu un premier enfant atteint,",Son risque est diminué par l’âge maternel avancé au moment de la conception
0,Au sujet des lésions histologiques des glomérulopathies (une ou plusieurs réponses exactes) :,"Le diagnostic des lésions glomérulaires minimes nécessite un examen en microscopie électronique,","La hyalinose segmentaire et focale peut être primitive chez l’adulte,","La glomérulopathie membrano-proliférative est caractérisée par des doubles contours de la membrane basaleglomérulaire,","Les dépôts de type « humps » sont présents dans la glomérulonéphrite aiguë post-infectieuse,",Le diabète peut donner lieu à une glomérulopathie
0,The histological diagnosis of prostatic adenocarcinoma on mapping biopsy (one or more correct answers):,"Necessitates generally six biopsy samples,","Can affirm extraprostatic involvement,","Necessitates a biopsy at the level of the seminal vesicles,","Is specified in its prognosis by the Gleason architectural score,",Is specified in its prognosis by the proliferation index
0,"During a surgical procedure, an intraoperative examination on a tissue sample is requested. The sample must be sent to the pathology laboratory (one or more correct answers):","At +4°C,","At -20°C,","Immersed in formalin,","Without fixative liquid,",Accompanied by a consent form
0,"Question: On a liver biopsy, which of the following support the diagnosis of acute alcoholic hepatitis (one or more correct answers)?","Neutrophilic inflammation,","Ballooned hepatocytes,","Councilman bodies,","Cirrhosis,",Cholestasis
0,Molecular biology analyses in the context of the anatomopathological diagnosis of a tumor (one or more correct answers):,"Can be done on tissue samples fixed and embedded in paraffin,","Can be done on non-fixed tissue samples frozen at -80°C,","Can be done on cell smears in liquid medium,","Require morphological control of the tissue sample,",Require a signed authorization from the patient
0,"Concernant la maladie d'alzheimer, quelle(s) affirmation(s) est(sont) juste(s) ?","Le diagnostic reste souvent tardif,","Il s’agit d’une démence secondaire,","Les troubles du comportement se déclarent souvent en début de maladie,","Le test des 5 mots de dubois permet de poser le diagnostic,",Elle évolue par poussée conduisant à des hospitalisations itératives
0,"Concernant le vieillissement des organes, quelle(s) est(sont) la(les) proposition(s) juste(s) :","It is marked by a decrease in maximum capacities,","It is mainly due to oxidative stress,","It is a concept without scientific proof,","It is characterized by a reduction in functional reserve capacities,",It allows to judge the individual's autonomy
0,"Concerning frailty syndrome, which statement(s) is/are correct?","It is a concept without a precise definition,","It allows for the evaluation of the functional reserves of organs,","It is associated with a risk of dependence,","It is associated with the risk of pressure ulcers during hospitalization,",It is associated with an increased risk of myocardial infarction
0,"You are managing an 85-year-old patient in the emergency department for cranial trauma while on antivitamin K (AVK) prescribed for atrial fibrillation. The INR is 2.9. There is a petechia on the cerebral scan. Among the following options, which one(s) do you choose for your therapeutic management?","Immediate administration of prothrombin complex concentrate,","Administration of vitamin K in 4 hours,","Systematic control cerebral scan in 6 hours,","Discontinuation of antivitamin K with a switch to curative dose heparin,",Discontinuation of antivitamin K
0,Question: Which of the following criteria indicate severe malnutrition in the elderly?,"Perte de poids ≥ 10 % en 1 mois,","Index de masse corporelle <18 kg/m2,","Perte de poids ≥ 15 kg en 6 mois,","Score mini nutritional assessment <17,",Taux d’albumine plasmatique <35 g/l
